date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:04	208707/208707	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Aug%202025%2010:10:03%20GMT	https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien.html	(from )
17:10:04	501/501	---M--	200	added ('OK')	text/plain	etag:W/%221f5-19809c05f38%22	https://www.vlu.edu.vn/robots.txt		(from )
17:10:05	275/275	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2001%20Aug%202025%2010:10:05%20GMT	https://vluwebmedia.s3.ap-southeast-1.amazonaws.com/VLU_View010000_Post_moi_2022_077ecc58a4.jpg	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/vluwebmedia.s3.ap-southeast-1.amazonaws.com/VLU_View010000_Post_moi_2022_077ecc58a4.1.delayed	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:05	15916/15916	---M--	200	added ('OK')	image/png	etag:W/%223e2c-19809bd7138%22	https://www.vlu.edu.vn/icons/favicon_logo.png	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/icons/favicon_logo.png	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:05	103275/103275	---MCZ	200	added ('OK')	text/css	etag:W/%221936b-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/css/0def24e653ad0efe.css	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/css/0def24e653ad0efe.css	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:05	62271/62271	---MCZ	200	added ('OK')	text/css	etag:W/%22f33f-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/css/5e80c32744fdb59b.css	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/css/5e80c32744fdb59b.css	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:06	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:06	6736/6736	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a50-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/webpack-1a951c348ccb2953.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/webpack-1a951c348ccb2953.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:07	140584/140584	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222528-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/framework-9cf46cf0fe8d1146.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/framework-9cf46cf0fe8d1146.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:07	105034/105034	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219a4a-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/main-f04ff3362ae607bc.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/main-f04ff3362ae607bc.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
